train-logloss-mean,train-logloss-std,train-error-mean,train-error-std,test-logloss-mean,test-logloss-std,test-error-mean,test-error-std
0.3099645578919305,0.0014331427048497889,0.10211665322685877,0.002197205568857877,0.3156548218347923,0.0030803936745239986,0.1065161281772804,0.0023831228491233373
0.30697261462852177,0.0015152972157092168,0.10172015289421188,0.0022503986154771426,0.31274847569310077,0.0029988895957371773,0.10606055015854117,0.0030442253641480978
0.304297201169868,0.0015378499177626324,0.1013573934207264,0.002341638912965184,0.31017514003510954,0.0030797078093517953,0.10568936031824869,0.002941714355801203
0.3019067453553942,0.0015595609844286239,0.10093558046014153,0.00192453470799608,0.30786303226280926,0.0030632230387400822,0.10541940070628715,0.0031262185473387963
0.2991099725326999,0.0015131338917646904,0.10039565696685246,0.0020865500090410855,0.30517173219921584,0.0030842624567777154,0.10508196044364453,0.0029012643953570316
0.29690315704674203,0.001496109438655089,0.10004555580899528,0.002079247406027308,0.3030773693147011,0.0030828926695865865,0.10469387730990842,0.002638263949155809
0.2943491177583354,0.001615175655520941,0.09961953073445803,0.0018889891249574792,0.3006193909948774,0.003055417835962572,0.10393460148901541,0.0027724903507128735
0.2919433168936042,0.0015925694750464458,0.09923990127620505,0.001776937950678327,0.2983074940033803,0.0030721838049986524,0.10317533278528346,0.0029796831124082315
0.28978142916726035,0.0015347274335657112,0.09888557635029013,0.0015657043489597405,0.29622365170954357,0.00313925018473799,0.10282102058068035,0.002962517367941794
0.2875486704413614,0.0014457165006127011,0.09873372077718062,0.0016098891763033744,0.29414351619444823,0.0031673950233146583,0.10283789679293749,0.0029561819564199623
0.2858532322344141,0.0014137305338089033,0.09845954398081672,0.001470978473992657,0.2925492824452399,0.0031717623637733216,0.10258481196980088,0.0029659255130258743
0.28434365687202107,0.001433884040375046,0.09821911026768007,0.0014376966869327982,0.2911558742232635,0.0031435584163826418,0.10273665944744555,0.0027944405460024256
0.2820976267346164,0.001410436078945654,0.09744297549487257,0.001367365404794246,0.2890616107412188,0.0032752096750192266,0.10192679342245073,0.0029553776440827545
0.2802310143087893,0.0014498228939303281,0.0973037758354002,0.001255832614070792,0.28725861953976495,0.0032634931204874235,0.1016399704091219,0.0029825704026946063
0.2781455538801361,0.0013936912909353792,0.0970127249619875,0.0011703795240585152,0.2852832709439204,0.003506570844693547,0.10170746956442163,0.0028457087432060277
0.27617228860699494,0.0014076486804382655,0.09673010961473436,0.0012161783027607395,0.28335672286063385,0.003394984476018531,0.10116754037647305,0.002901285057030775
0.2743329227566377,0.0014412319616399238,0.09617753776963225,0.0011125713795324265,0.28158909606709637,0.003436508666234322,0.10054323582096758,0.0033543389713614397
0.27261817113853803,0.0014762610248790764,0.0958316508608307,0.0011144551993338009,0.2799795294810473,0.0034778027002550908,0.10012142730792914,0.003230819204128795
0.2705680607402131,0.0014919901424783246,0.09538874485912167,0.0008197421082852692,0.2780540642173136,0.0035152704023568254,0.10015519823706213,0.003158992070913832
0.2686635740770892,0.001512356275869883,0.09487413328206949,0.0011554072326702732,0.27622246583445353,0.003522991259767604,0.09946342014803666,0.0030439306632129106
0.2669592547271663,0.0017491372292261257,0.09428781283805664,0.0010469310487891785,0.2745863082774451,0.0033881725457198695,0.09894037286607407,0.002986574948331793
0.2654053385699768,0.0016273094283279926,0.09375210982120774,0.0011168238694498072,0.2731232067177127,0.0035796114720072327,0.09850168387048183,0.003141258336414984
0.26377272485749576,0.0014997949853310158,0.09344840454652271,0.0010687039266816555,0.2716299979069482,0.003666397654683348,0.09811361781793224,0.0031989771076362627
0.2622670230564938,0.001575805917519724,0.09314891761317463,0.001078095181508967,0.27024276359389726,0.003654177649459172,0.09779303526292807,0.0033904002332354093
0.2607868666088179,0.0015099169072866619,0.09257947044554682,0.000995827749502692,0.2688774622112122,0.0037695511710786425,0.09753995613352028,0.0033257976688585446
0.2593143368408647,0.001652765866315597,0.09200158588354405,0.001309672360664704,0.2674893378011937,0.0037226582603996743,0.09700003833302936,0.0030377883491100473
0.25797510372949845,0.0016935797369667359,0.09155024391086228,0.0012450835377623352,0.26619748055342696,0.003907473633448009,0.0963082773251904,0.003077838865894142
0.2566409208138949,0.00162104351067805,0.09098923271420721,0.0011519899152458001,0.26491198521496484,0.003939470220607492,0.09607207013774312,0.0032638248014845894
0.255343031351247,0.001663489853479616,0.09058851012586741,0.0010295328510652464,0.26366222223078795,0.004076621507308127,0.09571774796911454,0.003310253656272635
0.25411916282467517,0.0016657809295190424,0.09025949498108612,0.001060102297730733,0.2625159062814456,0.004187173003045559,0.09516095822666311,0.003106453126888048
0.25261539450370124,0.001803421002439863,0.0898587728375595,0.0010439554506579244,0.2611803196153608,0.00410335934760975,0.09478976838637063,0.0032299892430294433
0.25139978692608667,0.0018954693609337517,0.08971113791881546,0.0010138258802562408,0.2600304310256279,0.004228537428240225,0.09465480139127971,0.0032660355978826683
0.2503652932448596,0.001981250784589071,0.08930197971535345,0.0010168928054265496,0.25908377984009384,0.004120033006795534,0.09433421741284337,0.003326043538960525
0.2491974467689107,0.0021171701235476567,0.08896874560649679,0.0010646086501233634,0.25794652505421756,0.004064195553442735,0.0941992418771592,0.0032566447019873406
0.2481421619650847,0.002181361913752862,0.08838664421552193,0.0009781282709488282,0.2569846232452341,0.004207778023325515,0.0936087054039223,0.0035861861892947243
0.24720820723145298,0.002275012723004372,0.08797748672376102,0.0007624545584220645,0.256099890607148,0.004516138366160006,0.09317002210205892,0.003993015100237296
0.2461024483832289,0.002216181057015514,0.08774970572160662,0.0010493912432339792,0.255128375823042,0.004546150402584658,0.09288319054813685,0.003974612275164529
0.24495358006965412,0.002292312142742009,0.08732367326317055,0.0012102957780365917,0.2540734287004473,0.004619920009565831,0.09266384533862462,0.004037653317191866
0.24376964808075624,0.00207165345588895,0.08668673992908815,0.000975795926023704,0.2529567449333413,0.004678709854924988,0.09207329747793007,0.00422049040058405
0.24285612803568674,0.0019818439813627437,0.08652223155603378,0.001143448317373867,0.2521278494384761,0.004883900989458113,0.09209017369018721,0.004148445072976396
0.24194948436419939,0.0019851166434230647,0.08623961540811692,0.0011300536990987823,0.2513067210035028,0.004815309688269291,0.09170211333136644,0.004154917060468718
0.24076582011842515,0.002185569838692535,0.08568703884799506,0.00118685676200213,0.25018740936511763,0.004715882300705594,0.09106095960881577,0.0038827915474988184
0.23969576966555567,0.0025313325816646894,0.08529053184315047,0.0014441580617278074,0.24919043718010245,0.004752233663435206,0.09062229054127448,0.0037377685316619487
0.23886042575070116,0.002313835768757249,0.08486450409973412,0.0012408151844190657,0.2483856795561684,0.004628440816284698,0.09014984627430356,0.003365111174867741
0.23787821634691814,0.0023522918179392327,0.08466203314560125,0.0013607903399046753,0.24747009392593483,0.004678503589413953,0.08979552125881056,0.003379398139933786
0.23679350531559903,0.0022309781371262446,0.08417695191508555,0.001065093978076532,0.24645388979442276,0.004828363551213629,0.08930619793271809,0.003649455330630549
0.23553860851814562,0.0021211564122951753,0.08346830588864909,0.0009393772937663994,0.24530648520875667,0.005011478867056719,0.08886750324339703,0.0037975817240725597
0.23440516083089138,0.002186100240214805,0.0832405261319716,0.0010261890676879703,0.24423224669093863,0.004856086638984122,0.08868190903496691,0.003961585116730669
0.23356212865939924,0.002141535140216287,0.08290307724028348,0.0010491913629482308,0.24340207117513138,0.004950448644294198,0.08809137683202664,0.004143623467091794
0.23274310635782078,0.002265984039717547,0.08266264192581937,0.0011178566606022072,0.2426674592748299,0.004741799342108074,0.08793952935438196,0.003923982565435588
0.23176677622071465,0.002274972746905299,0.0823505016587506,0.0010084153052215834,0.24179101668860778,0.004514367663573903,0.08765268641300222,0.0038026701676872276
0.23087366264527648,0.0022902099290757747,0.08213959526742082,0.0009736766331269978,0.2409914435093335,0.004573663717110353,0.08736586197624119,0.00378055329097468
0.23005203269537083,0.002351057518988,0.08189916146532156,0.0010640773548052673,0.24025809080054494,0.0046762262665606515,0.08704528084466923,0.003550499003601872
0.22940788826402564,0.002187237201865707,0.08173887428040848,0.0010037397337400555,0.23968393710679167,0.004733816684966465,0.08687654861417415,0.003711063992907287
0.22851677916221974,0.001916709160604819,0.08133815409405987,0.0009051073937413278,0.2388353420788501,0.004691817358074644,0.08615102664122766,0.0038965875556999157
